current_lose_streak,current_win_streak,draw,avg_BODY_att,avg_BODY_landed,avg_CLINCH_att,avg_CLINCH_landed,avg_DISTANCE_att,avg_DISTANCE_landed,avg_GROUND_att,avg_GROUND_landed,avg_HEAD_att,avg_HEAD_landed,avg_KD,avg_LEG_att,avg_LEG_landed,avg_PASS,avg_REV,avg_SIG_STatt,avg_SIG_STlanded,avg_SIG_STpct,avg_SUB_ATT,avg_TD_att,avg_TD_landed,avg_TD_pct,avg_TOTAL_STatt,avg_TOTAL_STlanded,longest_win_streak,losses,avg_opp_BODY_att,avg_opp_BODY_landed,avg_opp_CLINCH_att,avg_opp_CLINCH_landed,avg_opp_DISTANCE_att,avg_opp_DISTANCE_landed,avg_opp_GROUND_att,avg_opp_GROUND_landed,avg_opp_HEAD_att,avg_opp_HEAD_landed,avg_opp_KD,avg_opp_LEG_att,avg_opp_LEG_landed,avg_opp_PASS,avg_opp_REV,avg_opp_SIG_STatt,avg_opp_SIG_STlanded,avg_opp_SIG_STpct,avg_opp_SUB_ATT,avg_opp_TD_att,avg_opp_TD_landed,avg_opp_TD_pct,avg_opp_TOTAL_STatt,avg_opp_TOTAL_STlanded,total_rounds_fought,total_time_fought(seconds),total_title_bouts,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,wins,Stance,Height_cms,Reach_cms,Weight_lbs,age,Name,Encode_IDs
1.0,0.0,0.0,7.5,6.0,9.0,7.0,27.0,7.0,9.5,7.5,35.5,14.0,0.0,2.5,1.5,2.5,0.0,45.5,21.5,0.51,1.0,3.5,1.5,0.45,80.0,51.0,1.0,1.0,2.5,2.0,6.0,4.0,24.5,8.5,3.0,2.5,27.5,10.0,0.0,3.5,3.0,2.5,0.0,33.5,15.0,0.5700000000000001,0.5,2.5,1.5,0.75,93.0,71.5,4.0,596.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,157.48000000000005,162.56,115.0,27.0,Aisling Daly,18
1.0,0.0,0.0,11.0,8.333333333333334,2.0,1.3333333333333333,51.0,20.33333333333333,4.666666666666667,3.6666666666666665,39.0,11.333333333333336,0.3333333333333333,7.666666666666668,5.666666666666668,1.3333333333333333,0.0,57.66666666666666,25.33333333333333,0.44,0.3333333333333333,1.0,1.0,0.6666666666666666,75.33333333333333,41.333333333333336,1.0,2.0,9.666666666666666,4.666666666666667,13.666666666666664,9.333333333333334,70.0,20.33333333333333,13.666666666666664,5.666666666666668,70.33333333333333,16.666666666666668,0.0,17.333333333333332,14.0,0.0,0.0,97.33333333333331,35.333333333333336,0.3533333333333333,0.0,1.0,1.0,0.3333333333333333,126.0,61.33333333333334,7.0,637.3333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Southpaw,177.8,180.34,155.0,32.0,Akbarh Arreola,19
1.0,0.0,0.0,16.5,11.5,6.0,3.5,65.5,35.0,4.0,3.0,38.0,16.0,0.5,21.0,14.0,2.0,0.0,75.5,41.5,0.565,0.5,2.5,2.0,0.875,82.5,48.5,1.0,1.0,16.5,11.0,22.5,9.0,101.5,35.0,0.0,0.0,87.0,19.0,0.0,20.5,14.0,0.0,0.0,124.0,44.0,0.4,0.0,0.0,0.0,0.0,126.5,46.5,5.0,699.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Switch,170.18,172.72,170.0,34.0,Akihiro Gono,20
2.0,0.0,0.0,7.0,5.4,5.4,3.6,49.8,22.2,0.0,0.0,41.4,15.0,0.0,6.8,5.4,0.2,0.0,55.2,25.8,0.452,0.0,1.4,0.4,0.066,58.4,28.8,3.0,2.0,11.4,8.0,13.6,10.8,58.4,22.8,7.2,6.4,61.4,26.4,0.6,6.4,5.6,0.0,0.0,79.2,40.0,0.5519999999999999,0.2,3.0,0.4,0.21800000000000005,97.8,57.4,10.0,471.6,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,Orthodox,172.72,172.72,145.0,32.0,Akira Corassani,21
0.0,1.0,0.0,15.0,9.333333333333334,4.25,2.583333333333333,120.83333333333331,48.16666666666666,3.25,2.333333333333333,106.16666666666669,37.16666666666666,0.5833333333333334,7.166666666666668,6.583333333333332,0.5,0.0,128.33333333333334,53.08333333333334,0.445,0.25,2.9166666666666665,0.6666666666666666,0.215,131.83333333333334,56.08333333333334,5.0,3.0,10.083333333333334,6.666666666666668,2.1666666666666665,0.75,124.5,43.25,8.083333333333334,5.916666666666668,118.58333333333331,38.41666666666666,0.0,6.083333333333332,4.833333333333333,1.0833333333333333,0.0,134.75,49.91666666666666,0.37083333333333335,0.4166666666666667,4.416666666666667,1.1666666666666667,0.14833333333333334,145.75,59.25,33.0,740.0833333333335,2.0,0.0,1.0,4.0,4.0,0.0,0.0,9.0,Orthodox,177.8,177.8,155.0,32.0,Al Iaquinta,22
1.0,0.0,0.0,5.357142857142857,3.8571428571428568,5.857142857142858,4.142857142857143,39.642857142857146,15.928571428571427,7.2857142857142865,4.428571428571429,40.07142857142857,14.285714285714285,0.21428571428571427,7.357142857142858,6.357142857142858,0.6428571428571429,0.14285714285714285,52.78571428571429,24.5,0.4107142857142857,0.5714285714285714,0.8571428571428571,0.2857142857142857,0.18857142857142856,63.64285714285714,34.57142857142857,4.0,5.0,4.928571428571429,3.2857142857142856,7.142857142857142,4.857142857142857,46.35714285714285,15.285714285714285,6.0,3.7142857142857135,52.42857142857143,18.857142857142858,0.0,2.142857142857143,1.7142857142857142,2.5,0.07142857142857142,59.5,23.857142857142854,0.4235714285714286,0.7142857142857143,3.5,1.5714285714285714,0.4171428571428572,83.71428571428571,46.64285714285714,28.0,527.6428571428571,0.0,0.0,1.0,0.0,4.0,3.0,1.0,9.0,Orthodox,187.96,185.42,185.0,29.0,Alan Belcher,23
0.0,1.0,0.0,13.272727272727273,8.727272727272727,9.545454545454543,6.090909090909091,66.0,33.54545454545455,5.090909090909091,3.1818181818181817,56.54545454545455,24.818181818181817,0.8181818181818182,10.818181818181818,9.272727272727273,0.2727272727272727,0.0,80.63636363636364,42.81818181818182,0.5427272727272728,0.0,0.5454545454545454,0.2727272727272727,0.12727272727272726,85.81818181818181,47.72727272727273,3.0,4.0,6.545454545454546,3.8181818181818175,6.727272727272728,3.8181818181818175,59.54545454545455,21.363636363636363,3.8181818181818175,2.363636363636364,60.36363636363637,21.363636363636363,0.2727272727272727,3.1818181818181817,2.363636363636364,0.8181818181818182,0.0,70.0909090909091,27.54545454545455,0.4227272727272728,0.18181818181818185,1.4545454545454546,0.5454545454545454,0.2954545454545455,76.72727272727273,33.0,21.0,474.54545454545456,0.0,0.0,0.0,3.0,4.0,0.0,0.0,7.0,Southpaw,182.88,185.42,170.0,37.0,Alan Jouban,24
1.0,0.0,0.0,15.0,10.0,27.0,22.0,58.0,26.0,16.0,10.0,70.0,33.0,0.0,16.0,15.0,1.0,0.0,101.0,58.0,0.57,0.0,3.0,1.0,0.33,112.0,69.0,0.0,1.0,9.0,5.0,22.0,12.0,57.0,14.0,14.0,10.0,70.0,20.0,1.0,14.0,11.0,0.0,0.0,93.0,36.0,0.38,0.0,5.0,2.0,0.4,163.0,97.0,3.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,177.8,180.34,145.0,26.0,Alan Omer,25
0.0,3.0,0.0,8.0,4.0,4.166666666666667,2.6666666666666665,36.16666666666666,12.166666666666664,10.166666666666666,7.333333333333332,39.16666666666666,15.166666666666664,0.16666666666666666,3.333333333333333,3.0,3.6666666666666665,0.0,50.5,22.16666666666667,0.5033333333333333,0.3333333333333333,8.333333333333334,3.6666666666666665,0.435,94.5,57.66666666666666,3.0,1.0,11.666666666666664,7.5,7.166666666666668,4.333333333333333,30.83333333333333,13.5,5.166666666666667,3.5,28.66666666666667,11.333333333333336,0.16666666666666666,2.833333333333333,2.5,0.6666666666666666,0.0,43.16666666666666,21.33333333333333,0.4783333333333333,0.5,0.6666666666666666,0.16666666666666666,0.055,70.66666666666667,46.5,15.0,704.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,Southpaw,180.34,187.96,155.0,35.0,Alan Patrick,26
0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,180.34,,170.0,29.0,Albert Cheng,27
2.0,0.0,0.0,8.0,5.4,5.8,2.2,141.4,47.2,3.0,2.4,119.0,29.4,0.0,23.2,17.0,0.4,0.0,150.2,51.8,0.326,0.0,1.4,0.4,0.166,177.8,70.0,1.0,4.0,14.0,7.8,4.0,2.0,112.6,44.0,14.0,10.4,106.2,41.0,0.4,10.4,7.6,1.0,0.0,130.6,56.4,0.4400000000000001,0.4,1.8,0.8,0.18600000000000003,164.2,86.8,14.0,799.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Orthodox,175.26,182.88,135.0,26.0,Albert Morales,28
1.0,0.0,0.0,8.571428571428571,5.857142857142858,4.0,2.7142857142857144,74.0,30.285714285714285,5.0,2.2857142857142856,72.57142857142857,27.857142857142854,0.7142857142857143,1.8571428571428568,1.5714285714285714,0.0,0.14285714285714285,83.0,35.285714285714285,0.4142857142857143,0.0,0.7142857142857143,0.14285714285714285,0.14285714285714285,87.2857142857143,38.0,5.0,2.0,10.857142857142858,7.857142857142858,3.1428571428571432,2.4285714285714284,67.14285714285714,26.857142857142854,4.857142857142857,3.8571428571428568,53.714285714285715,16.571428571428573,0.0,10.571428571428571,8.714285714285714,1.4285714285714286,0.0,75.14285714285714,33.142857142857146,0.3857142857142857,0.14285714285714285,3.7142857142857135,0.8571428571428571,0.22428571428571425,80.85714285714286,38.42857142857143,14.0,524.1428571428571,0.0,0.0,1.0,1.0,3.0,0.0,0.0,5.0,Orthodox,180.34,185.42,170.0,24.0,Albert Tumenov,29
0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,172.72,,238.0,,Alberta Cerra Leon,30
1.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,2.0,6.0,4.0,0.66,3.0,7.0,0.0,0.0,16.0,14.0,0.0,1.0,7.0,4.0,0.0,0.0,12.0,3.0,52.0,23.0,55.0,20.0,0.0,2.0,2.0,5.0,0.0,64.0,26.0,0.4,0.0,0.0,0.0,0.0,148.0,97.0,3.0,710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,165.1,,155.0,31.0,Alberto Crane,31
0.0,3.0,0.0,5.0,3.333333333333333,8.0,4.333333333333333,66.0,28.33333333333333,10.666666666666666,7.0,71.33333333333333,29.33333333333333,1.0,8.333333333333334,7.0,0.3333333333333333,0.3333333333333333,84.66666666666667,39.66666666666666,0.4666666666666666,0.0,6.333333333333332,1.3333333333333333,0.37666666666666665,99.66666666666669,49.66666666666666,3.0,0.0,1.6666666666666667,1.3333333333333333,3.333333333333333,2.0,59.33333333333334,31.33333333333333,4.0,3.6666666666666665,54.33333333333334,27.33333333333333,0.0,10.666666666666666,8.333333333333334,0.6666666666666666,0.0,66.66666666666667,37.0,0.4566666666666667,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,79.33333333333333,46.0,6.0,511.33333333333326,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,Orthodox,182.88,195.58,170.0,36.0,Alberto Mina,32
1.0,0.0,0.0,5.0,3.0,13.0,11.0,12.0,3.0,2.0,1.0,19.0,12.0,0.0,3.0,0.0,1.0,1.0,27.0,15.0,0.55,0.0,2.0,1.0,0.5,40.0,28.0,0.0,1.0,9.0,6.0,19.0,10.0,25.0,12.0,10.0,5.0,45.0,21.0,1.0,0.0,0.0,1.0,0.0,54.0,27.0,0.5,0.0,5.0,1.0,0.2,61.0,34.0,2.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,190.5,195.58,185.0,32.0,Alberto Uda,33
0.0,4.0,0.0,5.0,3.7777777777777777,4.666666666666667,2.333333333333333,97.55555555555556,31.222222222222218,9.777777777777779,6.666666666666668,90.88888888888887,26.0,0.0,16.11111111111111,10.444444444444443,0.3333333333333333,0.0,112.0,40.22222222222222,0.3477777777777777,0.1111111111111111,2.0,0.3333333333333333,0.11,130.0,56.555555555555564,4.0,2.0,12.111111111111109,7.5555555555555545,2.6666666666666665,0.7777777777777778,85.22222222222223,29.0,2.2222222222222223,1.4444444444444444,67.8888888888889,16.0,0.4444444444444444,10.111111111111109,7.666666666666668,0.5555555555555556,0.1111111111111111,90.11111111111113,31.222222222222218,0.3466666666666666,0.6666666666666666,2.4444444444444446,0.8888888888888888,0.16666666666666666,93.33333333333331,33.888888888888886,21.0,650.5555555555555,1.0,0.0,1.0,3.0,3.0,0.0,0.0,7.0,Orthodox,167.64,170.18,135.0,29.0,Alejandro Perez,34
0.0,3.0,0.0,10.333333333333334,8.333333333333334,6.666666666666668,4.666666666666667,68.33333333333333,26.33333333333333,38.0,29.33333333333333,86.66666666666669,40.66666666666666,0.6666666666666666,16.0,11.333333333333336,1.3333333333333333,0.0,113.0,60.33333333333334,0.5666666666666667,0.0,1.6666666666666667,1.0,0.25,181.0,123.66666666666669,3.0,0.0,1.6666666666666667,0.0,3.333333333333333,3.0,30.66666666666667,12.333333333333336,3.333333333333333,3.0,29.66666666666667,13.666666666666664,0.3333333333333333,6.0,4.666666666666667,0.3333333333333333,0.0,37.333333333333336,18.33333333333333,0.5,0.0,5.666666666666668,0.6666666666666666,0.04666666666666667,49.0,29.33333333333333,7.0,681.6666666666666,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,Orthodox,193.04,198.12,205.0,27.0,Aleksandar Rakic,35
0.0,1.0,0.0,8.0,5.0,12.0,4.0,141.0,40.0,0.0,0.0,133.0,32.0,0.0,12.0,7.0,0.0,0.0,153.0,44.0,0.28,0.0,2.0,1.0,0.5,166.0,56.0,1.0,0.0,22.0,11.0,2.0,0.0,173.0,56.0,0.0,0.0,116.0,19.0,0.0,37.0,26.0,0.0,0.0,175.0,56.0,0.32,0.0,0.0,0.0,0.0,175.0,56.0,3.0,900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Orthodox,172.72,177.8,170.0,34.0,Aleksei Kunchenko,36
0.0,2.0,0.0,4.25,3.875,5.375,4.125,26.625,10.5,3.25,2.625,28.5,11.5,0.25,2.5,1.875,1.25,0.125,35.25,17.25,0.45125,1.0,2.875,1.125,0.22125,58.25,38.5,2.0,2.0,4.625,3.5,7.0,5.25,28.875,10.5,3.625,2.75,33.125,13.375,0.25,1.75,1.625,0.875,0.25,39.5,18.5,0.4774999999999999,0.0,1.125,1.0,0.625,52.375,31.125,12.0,338.75,0.0,0.0,0.0,0.0,1.0,5.0,0.0,6.0,Orthodox,187.96,203.2,240.0,41.0,Aleksei Oleinik,37
0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,177.8,187.96,185.0,31.0,Alen Amedovski,38
1.0,0.0,0.0,28.0,16.0,22.0,15.0,37.0,13.0,1.0,0.0,25.0,7.0,0.0,7.0,5.0,0.0,0.0,60.0,28.0,0.46,0.0,2.0,0.0,0.0,118.0,83.0,0.0,1.0,15.0,8.0,23.0,11.0,45.0,15.0,3.0,1.0,51.0,16.0,0.0,5.0,3.0,0.0,0.0,71.0,27.0,0.38,0.0,14.0,5.0,0.35,94.0,43.0,3.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,180.34,175.26,155.0,34.0,Alessandro Ricci,39
0.0,1.0,0.0,10.0,6.0,9.25,5.25,66.5,25.25,5.0,2.75,66.25,24.0,0.5,4.5,3.25,1.25,0.0,80.75,33.25,0.3825,0.0,2.5,1.25,0.4975000000000001,99.5,49.75,1.0,2.0,14.75,8.25,8.25,6.0,65.0,22.0,0.25,0.25,48.0,12.25,0.0,10.75,7.75,0.75,0.25,73.5,28.25,0.4125,0.5,4.25,1.0,0.195,88.25,39.75,9.0,592.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,Orthodox,182.88,187.96,185.0,28.0,Alessio Di Chirico,40
3.0,0.0,0.0,4.357142857142857,3.2857142857142856,5.928571428571429,3.7142857142857135,23.57142857142857,8.857142857142858,13.285714285714285,7.357142857142858,37.714285714285715,16.0,0.2857142857142857,0.7142857142857143,0.6428571428571429,0.21428571428571427,0.14285714285714285,42.785714285714285,19.928571428571427,0.4692857142857143,0.0,0.9285714285714286,0.7142857142857143,0.10714285714285714,52.07142857142857,28.07142857142857,3.0,8.0,1.6428571428571428,1.4285714285714286,4.428571428571429,2.7142857142857144,24.142857142857146,7.2142857142857135,6.857142857142858,4.357142857142857,30.285714285714285,10.071428571428571,0.2857142857142857,3.5,2.7857142857142856,0.7857142857142857,0.0,35.42857142857143,14.285714285714285,0.39142857142857146,0.14285714285714285,2.4285714285714284,0.8571428571428571,0.17500000000000002,55.214285714285715,31.57142857142857,21.0,310.57142857142856,0.0,0.0,1.0,1.0,4.0,0.0,0.0,6.0,Orthodox,182.88,182.88,185.0,32.0,Alessio Sakara,41
